mean_freq,min_freq,max_freq,count_freq,count_proj,band_min,band_max,band_mode,width
230.9787837837838,217.435,267.53,74,11,6,6,6.0,50.09499999999997
348.49482456140356,276.875,372.63,57,10,7,7,7.0,95.755
438.875,391.07,476.585,11,3,8,8,8.0,85.51499999999999
885.89125,878.23,897.5,8,1,10,10,10.0,19.269999999999982
402.03458333333333,128.995,631.99,12,3,4,9,7.0,502.995
711.0699999999999,708.8,713.34,2,1,9,9,9.0,4.540000000000077
692.76,691.47,694.05,2,1,9,9,9.0,2.5799999999999272
439.69,438.39,440.99,2,1,8,8,8.0,2.6000000000000227
322.395,321.395,323.395,2,1,7,7,7.0,2.0
476.5683333333333,474.39,478.625,3,2,8,8,8.0,4.235000000000014
487.92125,483.99,492.155,4,2,8,8,8.0,8.164999999999964
497.44,496.69,498.19,2,1,8,8,8.0,1.5
96.38071428571428,85.71,114.76,49,9,3,3,3.0,29.05000000000001
230.53243386243386,214.795,268.605,189,27,6,6,6.0,53.81000000000003
341.808537414966,287.885,359.135,147,27,7,7,7.0,71.25
617.718125,177.335,856.215,8,4,5,10,8.375,678.88
869.35,866.385,872.285,4,1,10,10,10.0,5.899999999999977
316.145,315.235,317.905,4,2,7,7,7.0,2.669999999999959
303.7364285714285,301.81,307.415,7,4,7,7,7.0,5.605000000000018
167.20357142857142,165.345,168.655,7,2,5,5,5.0,3.3100000000000023
146.57445945945946,127.505,161.965,37,6,4,4,4.0,34.46000000000001
42.8325,37.595,48.025,8,1,1,1,1.0,10.43
98.27743617021275,85.01,115.27,470,68,3,3,3.0,30.25999999999999
197.73055555555555,186.455,209.125,18,1,5,5,5.0,22.669999999999987
230.95989463601532,212.19,271.265,522,74,6,6,6.0,59.07499999999999
334.8528523489933,277.0,372.665,149,31,7,7,7.0,95.66500000000002
294.30384615384617,113.47,483.375,13,5,3,8,6.076923076923077,369.905
470.38,469.435,471.325,2,1,8,8,8.0,1.8899999999999864
490.815,489.885,491.745,2,1,8,8,8.0,1.8600000000000136
478.68,477.865,479.495,2,1,8,8,8.0,1.6299999999999955
497.195,497.195,497.195,2,1,8,8,8.0,0.0
485.085,485.085,485.085,2,1,8,8,8.0,0.0
495.255,495.255,495.255,2,1,8,8,8.0,0.0
360.5090909090909,345.815,372.63,11,3,7,7,7.0,26.814999999999998
713.35,713.35,713.35,1,1,9,9,9.0,0.0
102.83720116618076,85.12,115.275,343,45,3,3,3.0,30.155
141.37144736842106,126.035,158.505,38,9,4,4,4.0,32.47
193.0979166666667,177.49,209.885,12,2,5,5,5.0,32.39499999999998
231.00439330543935,212.145,272.82,239,31,6,6,6.0,60.67499999999998
338.10596491228074,277.01,364.165,114,22,7,7,7.0,87.15500000000003
483.6562837837838,456.63,492.165,74,16,8,8,8.0,35.535000000000025
682.0072222222223,672.35,691.475,9,2,9,9,9.0,19.125
814.824375,805.96,823.67,8,2,10,10,10.0,17.709999999999923
204.20125000000002,203.34,205.045,4,1,5,5,5.0,1.704999999999984
295.33,294.395,296.265,2,1,7,7,7.0,1.8700000000000045
306.455,302.4,309.34,3,2,7,7,7.0,6.939999999999998
708.875,706.165,711.585,4,1,9,9,9.0,5.420000000000073
283.33,282.395,284.265,2,1,7,7,7.0,1.8700000000000045
463.72166666666664,458.76,468.97,6,3,8,8,8.0,10.210000000000036
331.04200000000003,330.41,331.91,5,3,7,7,7.0,1.5
130.03357142857143,126.1,134.365,14,7,4,4,4.0,8.265000000000015
99.38131696428572,84.565,115.27,224,39,3,3,3.0,30.705
148.27388888888888,136.68,161.99,81,15,4,4,4.0,25.310000000000002
241.40912790697675,216.115,273.905,172,25,6,6,6.0,57.789999999999964
348.1885576923077,336.6,365.295,52,8,7,7,7.0,28.694999999999993
485.4707608695652,474.735,492.28,46,8,8,8,8.0,17.54499999999996
688.39375,682.615,694.175,16,1,9,9,9.0,11.559999999999945
231.71666666666667,223.305,236.06,3,2,6,6,6.0,12.754999999999995
89.275,88.275,90.275,2,1,3,3,3.0,2.0
262.08,261.26,262.9,2,1,6,6,6.0,1.6399999999999864
227.90166666666664,226.305,229.7,3,2,6,6,6.0,3.394999999999982
217.01,212.995,220.395,5,2,6,6,6.0,7.400000000000006
338.83625,336.795,340.255,4,2,7,7,7.0,3.4599999999999795
356.9369230769231,354.47,360.3,13,3,7,7,7.0,5.829999999999984
102.77166666666668,95.785,110.115,18,5,3,3,3.0,14.329999999999998
326.34763157894736,290.035,351.495,38,5,7,7,7.0,61.45999999999998
277.7,275.84,279.985,7,2,7,7,7.0,4.145000000000039
174.09375,172.69,175.5,4,1,5,5,5.0,2.8100000000000023
102.035,101.065,103.005,2,1,3,3,3.0,1.9399999999999977
179.79500000000002,179.29,180.3,2,1,5,5,5.0,1.0100000000000193
157.73,157.195,158.265,2,1,4,4,4.0,1.0699999999999932
286.3,282.44,289.72,6,3,7,7,7.0,7.28000000000003
191.7875,191.29,192.285,2,1,5,5,5.0,0.9950000000000045
242.85666666666665,239.125,244.94,6,4,6,6,6.0,5.814999999999998
298.856,295.39,301.72,5,3,7,7,7.0,6.330000000000041
141.2924074074074,128.315,151.295,27,7,4,4,4.0,22.97999999999999
246.8098936170213,213.765,272.84,47,10,6,6,6.0,59.07499999999999
347.2425,332.255,364.625,54,10,7,7,7.0,32.370000000000005
164.133125,143.95,184.67,8,2,4,5,4.5,40.72
659.5425,658.01,661.075,2,1,9,9,9.0,3.0650000000000546
645.0274999999999,643.62,646.435,2,1,9,9,9.0,2.814999999999941
890.9621875,874.815,906.795,16,2,10,10,10.0,31.979999999999905
193.9925,193.99,193.995,2,1,5,5,5.0,0.0049999999999954525
353.71625,352.605,354.395,8,1,7,7,7.0,1.7899999999999636
156.89625,155.9,157.89,4,1,4,4,4.0,1.9899999999999807
102.2054,85.015,114.89,100,10,3,3,3.0,29.875
249.12423076923076,217.09,273.915,104,17,6,6,6.0,56.82500000000002
340.24385964912284,330.59,347.33,57,7,7,7,7.0,16.74000000000001
690.525,675.695,705.02,20,2,9,9,9.0,29.324999999999932
682.22,682.22,682.22,1,1,9,9,9.0,0.0
315.775,315.775,315.775,1,1,7,7,7.0,0.0
493.935,493.025,494.845,2,1,8,8,8.0,1.82000000000005
418.07500000000005,417.165,418.985,2,1,8,8,8.0,1.8199999999999932
431.61,428.605,434.615,4,1,8,8,8.0,6.009999999999991
280.98,277.935,283.58,4,2,7,7,7.0,5.644999999999982
356.18611111111113,349.635,363.5,9,4,7,7,7.0,13.865000000000009
